Date,total_size_usd,total_closed_pnl,number_of_trades,value,classification,normalized_classification,sentiment_value_lag_1
2023-03-28,477.0,0.0,3,59.0,Greed,Greed,
2023-11-14,11555429.76,155.50335699999994,1045,69.0,Greed,Greed,59.0
2024-03-09,39406770.25,176965.491774,6962,84.0,Extreme Greed,Greed,69.0
2024-07-03,21843234.35,158742.378078,7141,50.0,Neutral,Neutral,84.0
2024-10-27,103947765.09,3189461.032019,35241,74.0,Greed,Greed,50.0
2025-02-19,704158492.98,6699925.190574,133871,44.0,Fear,Fear,74.0
2025-06-15,310275273.03,71709.347634,26961,,,,44.0
